Fecha de la captura,Nombre Blockchain,Token,Nombre,Precio (en US$),Ranking,Clase
21/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
22/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
23/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
24/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
25/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
26/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
27/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
28/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
29/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
30/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
01/05/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
01/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
02/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
03/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
04/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
05/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
06/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
07/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
08/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
09/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
10/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
11/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
12/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
13/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
14/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
15/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
16/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
17/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
18/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
19/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
20/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
21/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
22/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
23/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
24/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
25/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
26/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
27/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
28/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
29/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
30/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
31/10/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
01/11/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
02/11/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
03/11/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
04/11/2023,Solana,SMOLE,smolecoin,3.8250047617390406e-05,2738.0,3
05/11/2023,Solana,SMOLE,smolecoin,3.8248110563234414e-05,2738.0,3
06/11/2023,Solana,SMOLE,smolecoin,3.8248110563234414e-05,2738.0,3
07/11/2023,Solana,SMOLE,smolecoin,3.8248110563234414e-05,2738.0,3
08/11/2023,Solana,SMOLE,smolecoin,3.8248110563234414e-05,2738.0,3
09/11/2023,Solana,SMOLE,smolecoin,3.8248110563234414e-05,2738.0,3
10/11/2023,Solana,SMOLE,smolecoin,3.8248110563234414e-05,2738.0,3
